Nombre de Fantasía,RUT
Mecharon de Casa,76962036-2
Willi Mapu,77079288-6
Fauna,76028956-6
St Patrick's,76031172-3
Tino´s Bar,76310494-K
Dante 1,76166803-K
Boca Nariz,76150207-7
27 F,76708453-6
Rock Star,76727684-2
Oklahoma,77364006-8
Rustico,5826311-7
Coyote Club Restobar,77922523-2
New,77735376-4
Casa Vecchia,77889737-7
El Bosque,77006544-5
S & S,76442128-0
Dangelous,76121560-4
Mil Amores,77117072-2
Palacio Chorrillana,77771120-2
Calabria Providencia,76273298-K
Kanpai,78014252-9
Chingana del Barrio,76902849-8
Barbaros,76651874-5
Meson del Buen Comer,76524621-0
Stadio Italiano,76725508-K
Café Escondido,77991332-5
Bohemia,76967898-0
Pool on The Rocks,77653818-3
Roof 167,76607474-K
Lusitano Condell,76210032-0
Tiramisu,76929670-0
Santelmo,76436525-9
Nativo San Miguel,76644718-K
Nativo La Reina,76644718-K
Mito Nikkei,76986905-0
El Irlandes,21752946-8
Mediterraneo,76768989-6
Jaggers,76996705-2
Agatha Bar,77638035-0
Kapura,76894157-2
Fuente Chilena Chicureo,96945950-7
Donde Cochamba,76270089-1
Araguaney,77012783-1
Coco Café,78084374-8
Mira Vos Providencia,76377201-2
Mira Vos La Reina,76377201-2
Waldos,76778896-7
Cantina Verde Mar,3830475-5
Santos Bar,15940218-5
Manhattan Sushi,77405673-4
Insomnia,11340467-1
El Padrino,78007527-9
Los Hornitos,76809982-0
LA CAPITAL,76222192-6
Binomios,77328906-9
Le Birra,77270526-3
Las Mesitas,77643981-9
Kross Bar Aeropuerto FOOD HALL,77266566-0
Fuente Suiza Ñuñoa,82583200-9
La Martina,77119513-K
La Fermata,76418669-9
La Fabbrica,76327767-4
Pampa Brava (Ex Cabaña),76784875-7
Tante Marlene,79575200-5
Taberna Pantolino,13562128-5
Friends,76482483-0
Pub Los Amigos,15171712-8
La Chimenea,12234466-5
La Barrica Celta,9786212-5
Cinco Oceanos,76328599-5
Entretiempo,76771901-9
Backstage,76649330-0
Tokio Sushi,76034680-2
Alto Japon,77215351-1
Doce Trece Pedro de Valdivia,77659008-8
Tierra del Fuego,76280833-1
Garage 0276,77053844-0
Club 57,77309079-3
Kross bar Concepción,76844179-0
Louta,76549539-3
La Schoperia Reñaca,77389923-1
Fuente Chilena Barrio Italia,77644309-3
St George,76827838-5
Eastman,77876695-7
Springfield 2,76176065-3
Brasil 4 sesenta,76176065-3
Fusion,76480657-3
Barrio Alto,77658448-7
A Lo Roto,76592434-0
La Schoperia 4 1/2,77113872-1
Club Paris,77242458-2
Taberna del Duende,77745042-5
B Q,77875674-9
Piano Bar,77031033-4
La Mare,76756809-6
Lincontro,76300284-5
Cinzano,96616860-9
Fuente Mackenna Galeria,76208572-0
La Terraza Vicuña Mackenna,76079927-0
Tapas y Birras Ñuñoa,76136204-6
Holy Moly Merced,76865638-K
Ramblas,76434820-6
Minga Pizzería Pedro Valdivia,76434820-6
Minga Pizzería Domani Tobalaba,76434820-6
Minga Pizzería Domani Granaderos,76434820-6
Minga Pizzería Domani El Plomo,76434820-6
Laconi Burguer,77152989-5
La Prohibida,77802412-8
Blanco 285,77113296-0
Gran Refugio Providencia,77404158-3
Bangkok,77661293-6
Play Bar,77538893-5
Fuente Oficial,76174095-4
El Volcan,77575155-K
Lusitano Providencia,77238675-3
Terra Restobar,76651275-5
Casa Lastarria,76066379-4
Bar 9,77852322-1
Adria,76099810-9
Maldito Arroz,76444122-2
Favara,77074274-9
Bar El Bosque,76956559-0
Padel Boom,77637977-8
Mala Testa,77926124-7
Mardoqueo San Joaquín,77006199-7
Mardoqueo Roger de Flor,77006199-7
Mardoqueo Centro,77006199-7
Mardoqueo Bilbao,77006199-7
Anakena,76915857-K
Oculto Bar,77290617-K
Espacio VIP,77020405-4
Delybar,77886167-4
Donde Ramon,77674177-9
La Fabbrica Dehesa,76868979-2
Nogaro,96776970-3
MiBar,76240235-1
Baires Brasil,15362014-8
Verydeli,77116525-7
Charlies,77116525-7
68 Ribs,77170469-7
Club Area (La Bochera),53298083-6
Star Burguer,77266162-2
Caramagnola Los Leones,76030487-5
Caramagnola Aguas Claras,76030487-5
Dadino,86913000-1
Caramagnola Bilbao,76658051-3
Comedy,76346403-2
Doce Trece Tobalaba,76018289-3
Yamasushi,76867610-0
Ciudad de Pie,76926756-5
Club More,77271347-9
ViBeer,77481009-9
Pupuya,76281872-8
Espoz,76536542-2
Tropera,77814981-8
La Barra,9237202-2
Titania,77243653-K
Dublin,76387390-0
Santineria Bar,76580135-4
Café de la Barra,76429260-K
Yungay Viejo,77112579-4
Citadelle,77802437-3
Fuente Chilena Vitacura,77084497-5
Castillo Forestal,76253628-5
Kross Bar Italia,76519803-8
Kross Bar Borde Río,76519803-8
Kross Bar Mall Sport,76519803-8
Kross Bar Orrego Luco,76519803-8
Kross Bar Bellavista,76519803-8
The Black Rock,76096378-K
Sanbar,76150427-4
Malacria,77117928-2
El Diablito,76525099-4
Sangucheria Cosmo,76308422-1
Buenos Aires,76308422-1
Fundo El Molino,76352126-5
BaBeer,77156362-7
Harrys,76162479-2
Fuente Chilena Aeropuerto,77535730-4
Arcade Bar,77773481-4
Nice to Meat,77726196-7
Fuente Dortmund,76237747-0
Fuente Chilena Pedro de Valdivia,76934290-7
Fuente Chilena Las Condes,76934290-7
Fuente Chilena El Golf,96945950-7
Fuente Chilena Apoquindo,76934290-7
Agua de Piedra,77627100-4
Taqueria El Rancho,78921240-6
Los Mañosos,77176718-4
Gran Refugio Mall Plaza Egaña,77584921-5
HOTEL MERCURE,76502610-5
Don Cucho,76989038-6
